"ttp-comment-item href","ttp-avatar src","name","inner","content","time","text"
"https://www.toutiao.com/c/user/105209262793/?source=tuwen_detail","https://p3-sign.toutiaoimg.com/user-avatar/48262097a0b086a86766e0992838259e~300x300.image?_iz=112761&from=tt_user.tab_comments_comment&lk3s=a67912db&x-expires=1783987200&x-signature=fzGZwUUT6E%2BgrpPNQ%2FFojJNUKw8%3D","白桦林2005","7","6月份四个一线城市，北京环比跌幅最大，国家公布的统计数据，谁也别造谣！","3天前",""
"https://www.toutiao.com/c/user/1856431846079005/?source=tuwen_detail","https://p11-sign.toutiaoimg.com/user-avatar/ef1d61d6268515ad50c2547137feacd7~300x300.image?_iz=112761&from=tt_user.tab_comments_comment&lk3s=a67912db&x-expires=1783987200&x-signature=LqbQ8d3Yr1w14FDuyFN9VQkXOkw%3D","传统自由","15","北京房价涨的逻辑是什么","3天前",""
"https://www.toutiao.com/c/user/2682412114389613/?source=tuwen_detail","https://p3-sign.toutiaoimg.com/user-avatar/1113957ed01dcad2d7b4ff7def5d93de~300x300.image?_iz=112761&from=tt_user.tab_comments_comment&lk3s=a67912db&x-expires=1783987200&x-signature=hUtwkdUgJ3GuuJr85K%2B6Je7PtCk%3D","猫子山-今日头条","","全国统一政府创建淘房网和进行监督，房屋销售和交易上淘房网，供需双方直接网上见面，除涉及隐私信息（户主姓名和身份证号码等）外，其它一律公示透明网上可查！","18小时前","赞"
"https://www.toutiao.com/c/user/111201109623/?source=tuwen_detail","https://p3-sign.toutiaoimg.com/user-avatar/b7024edaaa349641a0e884c72be6bbd6~300x300.image?_iz=112761&from=tt_user.tab_comments_comment&lk3s=a67912db&x-expires=1783987200&x-signature=rci0AkgIa3YUx04Eka3swqTptPE%3D","一丝不苟小猫9IK","32","中介制造焦虑，使劲压价，早该管管了","3天前",""
"https://www.toutiao.com/c/user/64053229720/?source=tuwen_detail","https://p3-sign.toutiaoimg.com/motor-img/31a3a49d1139d40dc997da69310263c6~300x300.image?_iz=112761&from=tt_user.tab_comments_comment&lk3s=a67912db&x-expires=1783987200&x-signature=pxIg1EOfWk%2BJZk8IZGqMZd8te84%3D","率真风筝x68","23","北京的期房在降价促销，不是事实吗","3天前",""
"https://www.toutiao.com/c/user/413849499472544/?source=tuwen_detail","https://p11-sign.toutiaoimg.com/user-avatar/d773860f00b16b99acdefb70919ed6a2~300x300.image?_iz=112761&from=tt_user.tab_comments_comment&lk3s=a67912db&x-expires=1783987200&x-signature=ckW%2F0%2Fynqc6BZthDjoeh6NIhdYw%3D","热闹远山IL","","角度不一样，看法说法就有本质区别！","14小时前","赞"
"https://www.toutiao.com/c/user/2809972613450670/?source=tuwen_detail","https://p3-sign.toutiaoimg.com/user-avatar/a11499809bf574d1981f147a4b2f9dba~300x300.image?_iz=112761&from=tt_user.tab_comments_comment&lk3s=a67912db&x-expires=1783987200&x-signature=TqRYSYD41typ9hYIgMYaIiUb%2FEA%3D","巨人二哥逛京城（游侠团）","5","房价到底高不高，就看多少年的工资才能买一套房，拿这个衡量吧，如果一个家庭十年的工资能买一套房那房价合适，反之就是贵了","3天前",""
"https://www.toutiao.com/c/user/84035448395/?source=tuwen_detail","https://sf3-cdn-tos.bdxiguastatic.com/img/user-avatar/2a89d86d4f551ff253a554b8b6f80d14~300x300.image","正经老男人军哥","16","降房价才是普通老百姓的希望","3天前",""
"https://www.toutiao.com/c/user/102197344224/?source=tuwen_detail","https://p11-sign.toutiaoimg.com/mosaic-legacy/d279000a74d3de5da1fb~300x300.image?_iz=112761&from=tt_user.tab_comments_comment&lk3s=a67912db&x-expires=1783987200&x-signature=OQPxa8H2XGm%2BlJqiVq67N3HuqkQ%3D","闻笛189","9","别看量，看价格。","3天前",""
"https://www.toutiao.com/c/user/51218264169/?source=tuwen_detail","https://p11-sign.toutiaoimg.com/motor-img/e22e2942b40a87c597e6ff9edcf43e0e~300x300.image?_iz=112761&from=tt_user.tab_comments_comment&lk3s=a67912db&x-expires=1783987200&x-signature=2nuZOyfcpove20T%2FKec9ju8AmUU%3D","雪尘","10","强烈建议北京市政府把房产资产保值增值作为工作任务。坚决打击造谣的中介号。","3天前",""
