"title","title href","avator href","avator src","woo-icon-in href","name","user_vip_icon_container src","from","from href","txt","txt 2","txt href","m3 src","m3 src 2","m3 src 3","woo-box-flex","woo-box-flex 2","woo-like-count","from 2","from 3","from href 2","wbicon 2","txt 3","txt 4","txt href 2","txt 5","txt href 3","wbicon 3","m4 src","m4 src 2","m4 src 3","m4 src 4","m3 src 4","m3 src 5","m3 src 6","woo-icon-main href","m1 src","txt 6","txt href 4","wbicon 4"
"热门","https://s.weibo.com/weibo?q=%E6%9D%B0%E5%85%B0%E8%B7%AF%E5%8F%91%E5%B8%83%E6%96%B0%E8%83%BD%E6%BA%90%E6%B1%BD%E8%BD%A6%E7%99%BE%E4%BA%BA%E9%9D%92%E7%9D%90%E6%8C%87%E6%95%B0&xsort=hot&Refer=hotmore","https://weibo.com/7909008288?refer_flag=1001030103_","https://tvax1.sinaimg.cn/crop.0.0.512.512.180/008DfolOly8hpp9tfb0lrj30e80e874g.jpg?KID=imgbed,tva&Expires=1783333046&ssig=wmIIGCmr4k","[object Object]","赛力斯康波","https://h5.sinaimg.cn/upload/108/1866/2022/11/02/svvip_2.png","44分钟前","https://weibo.com/7909008288/R7qcmDflB?refer_flag=1001030103_","杰兰路今天发布《2026年度上半年新能源汽车品牌健康度研究》，问界蝉联品牌发展信心指数第一，连续四次稳居榜首，品牌信心持续领跑。此外，在百人青睐指数30万元以上价位段中，问界也名列第一。用户的每一次选择，都是我们向前的底气！ ​","#问界汽车#","https://s.weibo.com/weibo?q=%23%E9%97%AE%E7%95%8C%E6%B1%BD%E8%BD%A6%23","https://wx2.sinaimg.cn/orj360/008DfolOgy1ieu9d2nwovj31uo3aje82.jpg","https://wx4.sinaimg.cn/thumb150/008DfolOgy1ieu9d3tcexj30xc2j24oq.jpg","https://wx3.sinaimg.cn/orj360/008DfolOgy1ieu9d52qicj30xc14y7hq.jpg","转发","26","63","","","","","","","","","","","","","","","","","","","","","",""
"热门","https://s.weibo.com/weibo?q=%E6%9D%B0%E5%85%B0%E8%B7%AF%E5%8F%91%E5%B8%83%E6%96%B0%E8%83%BD%E6%BA%90%E6%B1%BD%E8%BD%A6%E7%99%BE%E4%BA%BA%E9%9D%92%E7%9D%90%E6%8C%87%E6%95%B0&xsort=hot&Refer=hotmore","https://weibo.com/1691674947?refer_flag=1001030103_","https://tvax4.sinaimg.cn/crop.0.0.1080.1080.180/64d4e943ly8idffeiux6qj20u00u0dio.jpg?KID=imgbed,tva&Expires=1783333046&ssig=QH%2F3z%2FzIaS","[object Object]","帆视界-EV","https://h5.sinaimg.cn/upload/108/1866/2022/11/02/svvip_2.png","今天09:28","https://weibo.com/1691674947/R7ocCtYFX?refer_flag=1001030103_","杰兰路2026年度上半年新能源汽车品牌健康度出来了，还都挺有意思的截取几个，看看和大家的认知差不多吗？提示后知名度比亚迪、特斯拉、小米、理想、问界、蔚来、小鹏分在了第一档百人青睐指数（拆分价格区间）top520万以下：比亚迪、方程豹、小鹏、吉利银河、零跑20-30万：特斯拉、小 ​","展开","https://weibo.com/1691674947/R7ocCtYFX?refer_flag=1001030103_","","","","转发","5","赞","来自","微博网页版","https://app.weibo.com/t/feed/xEsRX","c","杰兰路2026年度上半年新能源汽车品牌健康度出来了，还都挺有意思的截取几个，看看和大家的认知差不多吗？提示后知名度比亚迪、特斯拉、小米、理想、问界、蔚来、小鹏分在了第一档百人青睐指数（拆分价格区间）top520万以下：比亚迪、方程豹、小鹏、吉利银河、零跑20-30万：特斯拉、小米、蔚来、理想、问界30万以上：问界、蔚来、特斯拉、理想、小米品牌形象标签里，开放创新：小鹏出现频率最高，小米拿了三个细分的第一成功主义：尊界已经赶超奔驰最搞的是最后还来了一个消费者心中最强华为汽车代表，它就是问界!","#大v聊车#","https://s.weibo.com/weibo?q=%23%E5%A4%A7v%E8%81%8A%E8%BD%A6%23","收起","javascript:void(0);","d","https://wx1.sinaimg.cn/thumb150/64d4e943gy1ieu0h3xr7aj20u02rte4e.jpg","https://wx3.sinaimg.cn/orj360/64d4e943gy1ieu01qsyo9j20u010v13h.jpg","https://wx4.sinaimg.cn/thumb150/64d4e943gy1ietzu0faf3j20u02u14qp.jpg","https://wx4.sinaimg.cn/orj360/64d4e943gy1ieu0flvai4j20u00x748d.jpg","","","","","","","",""
"热门","https://s.weibo.com/weibo?q=%E6%9D%B0%E5%85%B0%E8%B7%AF%E5%8F%91%E5%B8%83%E6%96%B0%E8%83%BD%E6%BA%90%E6%B1%BD%E8%BD%A6%E7%99%BE%E4%BA%BA%E9%9D%92%E7%9D%90%E6%8C%87%E6%95%B0&xsort=hot&Refer=hotmore","https://weibo.com/7241419913?refer_flag=1001030103_","https://tvax3.sinaimg.cn/crop.0.0.512.512.180/007U4g7nly8gx8tismdd9j30e80e8t8y.jpg?KID=imgbed,tva&Expires=1783333046&ssig=iPgG6NYZrb","[object Object]","张钇平","https://h5.sinaimg.cn/upload/108/1866/2022/11/02/svvip_1.png","今天09:57","https://weibo.com/7241419913/R7ooojKUw?refer_flag=1001030103_","杰兰路2026年度上半年新能源汽车品牌健康度研究，其中：提示后品牌知名度第一梯队有比亚迪、特斯拉、小米、理想、问界、蔚来、小鹏。百人青睐指数超过50分的只有特斯拉和比亚迪。 ​","#新能源汽车﻿#","https://s.weibo.com/weibo?q=%23%E6%96%B0%E8%83%BD%E6%BA%90%E6%B1%BD%E8%BD%A6%EF%BB%BF%23","","","","转发","评论","5","来自","iPhone 16","https://weibo.com/","","","#大v聊车#","https://s.weibo.com/weibo?q=%23%E5%A4%A7v%E8%81%8A%E8%BD%A6%23","","","","https://wx1.sinaimg.cn/thumb150/007U4g7nly1ieu1enthauj30xc32w1kx.jpg","https://wx1.sinaimg.cn/thumb150/007U4g7nly1ieu1eog8rvj30xc2z67wh.jpg","","","","","","","","","",""
"","","https://weibo.com/2921207235?refer_flag=1001030103_","https://tvax3.sinaimg.cn/crop.0.0.480.480.180/ae1e15c3ly8ibuikwqmcqj20dc0dcmxl.jpg?KID=imgbed,tva&Expires=1783333046&ssig=cMw26ex97X","","鲍文德","https://h5.sinaimg.cn/upload/108/1866/2022/11/02/vip_7.png","4分钟前","https://weibo.com/2921207235/R7qsyqxa8?refer_flag=1001030103_","杰兰路2026年度上半年新能源汽车品牌健康度研究发布了，挑几个重点说说1.目前，新能源汽车消费者平均熟悉的品牌数量已经达到了12个，这一水平已经明显高于传统意义上的普通消费品认知深度，对于车企而言，品牌不再只是被看见的问题，而是要在越来越多被消费者熟悉的品牌中，形成更清晰、更稳定的正向 ​","展开","https://weibo.com/2921207235/R7qsyqxa8?refer_flag=1001030103_","https://wx2.sinaimg.cn/thumb150/ae1e15c3gy1ieuaj7qmgcj20u02on49q.jpg","https://wx2.sinaimg.cn/thumb150/ae1e15c3gy1ieuaj7btv1j20u02mmgvt.jpg","https://wx3.sinaimg.cn/orj360/ae1e15c3gy1ieuaj87kiqj20u00x748d.jpg","转发","1","赞","来自","iPhone Air","https://weibo.com/","c","杰兰路2026年度上半年新能源汽车品牌健康度研究发布了，挑几个重点说说1.目前，新能源汽车消费者平均熟悉的品牌数量已经达到了12个，这一水平已经明显高于传统意义上的普通消费品认知深度，对于车企而言，品牌不再只是被看见的问题，而是要在越来越多被消费者熟悉的品牌中，形成更清晰、更稳定的正向偏好。所以，多数品牌百人青睐指数提升背后的原因，并不是知名度的大幅扩张，而是来源于熟悉度和美誉度的同步提升，这两点将成为品牌转化能力的关键；2.从品牌档次分布来看，2026年H1高档及以上品牌数量占比为54%，已经超过经济与中档品牌的合计占比，但这并不意味着高端市场容量也同步扩张，而更像是品牌供给端的进一步拥挤。对于车企而言，高端化是提升品牌价值，打开价格天花板的重要路径，但从市场容量来看，20万以上尤其是30万以上市场，并不能承载过多品牌同时完成高端化因此，新能源品牌高端化竞争正在进入更危险的阶段：不是所有品牌都能靠更高定价，更高配置或更强技术叙事进入高端用户心智新能源汽车品牌档次感知已经进入到了一个相对固化阶段，消费者对于各品牌价格带，产品定位和品牌调性的认知已经逐渐形成，所以整体来看品牌档次感知不会频繁大幅波动。而品牌档次感知并不只由售价决定，产品品质，技术支持，服务品质，价格体系，品牌积淀，设计理念，用户群体，传播形象，国际影响力，稀缺性等等多个维度共同构成了消费者对于品牌档次的综合判断这也就意味着，高端化并不是简单地推出高价车型，或在配置上堆高规格就能完成。真正稳定的档次感，需要品牌在产品，服务，渠道，用户和传播中形成长期一致的体验。对于新能源品牌来说，当前高端化已经从机会窗口变成拥挤赛道，能否真正站稳高档，豪华，甚至超豪华区间，取决于品牌是否能够持续证明自己的价值，而不是短期把价格推上去；3.很有意思的是这次杰兰路还专门把华为汽车生态心智测试也加入进去了，结果丝毫不意外：问界是消费者心中最强的“华为汽车”代表随着华为生态逐渐从稀缺，独特逐渐走向大众与平台化，从长远来看，华为在智能化，科技感和高端化方面的心智资产将会被鸿蒙智行以及华为乾坤的各个品牌共享，消费者对于各个品牌的认知边界也将会越来越模糊，最后，消费者的认知将会向仅有的几个“代表品牌”集中","#新能源汽车#","https://s.weibo.com/weibo?q=%23%E6%96%B0%E8%83%BD%E6%BA%90%E6%B1%BD%E8%BD%A6%23","收起","javascript:void(0);","d","","","","","","","","","","","",""
"","","https://weibo.com/6331869199?refer_flag=1001030103_","https://tvax4.sinaimg.cn/crop.0.0.512.512.180/006UvSqzly8hz79cykhdej30e80e80sp.jpg?KID=imgbed,tva&Expires=1783333046&ssig=SetzZffREJ","[object Object]","电动知士","https://h5.sinaimg.cn/upload/108/1866/2022/11/02/svvip_2.png","今天12:54","https://weibo.com/6331869199/R7pyq1Lgv?refer_flag=1001030103_","杰兰路发布2026年度上半年新能源汽车品牌健康度，包括“提示后知名度”、“百人青睐指数”、“品牌档次指数”、“发展信心指数”、“品牌形象标签”等。其中比亚迪在“提示后知名度”、“百人青睐指数”、“发展信心指数”等榜单中均位于最强梯队。另外，本期还新增了“华为汽车生态心智测试”，将 ​","展开","https://weibo.com/6331869199/R7pyq1Lgv?refer_flag=1001030103_","https://wx2.sinaimg.cn/thumb150/006UvSqzly1ieu6ea6f1xj30u02rse4j.jpg","https://wx2.sinaimg.cn/thumb150/006UvSqzly1ieu6efmcvjj30u02onx63.jpg","https://wx4.sinaimg.cn/orj360/006UvSqzly1ieu6eq56ftj30u010vtjj.jpg","转发","评论","3","来自","微博网页版","https://app.weibo.com/t/feed/xEsRX","c","杰兰路发布2026年度上半年新能源汽车品牌健康度，包括“提示后知名度”、“百人青睐指数”、“品牌档次指数”、“发展信心指数”、“品牌形象标签”等。其中比亚迪在“提示后知名度”、“百人青睐指数”、“发展信心指数”等榜单中均位于最强梯队。另外，本期还新增了“华为汽车生态心智测试”，将鸿蒙智行与华为乾崑作为独立对象纳入测试，以观察消费者对华为汽车生态核心品牌资产的认知情况。","#新能源汽车#","https://s.weibo.com/weibo?q=%23%E6%96%B0%E8%83%BD%E6%BA%90%E6%B1%BD%E8%BD%A6%23","收起","javascript:void(0);","d","","","","","https://wx3.sinaimg.cn/thumb150/006UvSqzly1ieu6f0g25dj30xc2x41kx.jpg","https://wx4.sinaimg.cn/thumb150/006UvSqzly1ieu6fb83kpj30xc2j2e60.jpg","https://wx1.sinaimg.cn/thumb150/006UvSqzly1ieu6fmthzbj30xc35db29.jpg","","","","",""
"","","https://weibo.com/1981906755?refer_flag=1001030103_","https://tvax4.sinaimg.cn/crop.0.0.1024.1024.180/76217f43ly8ht8a5ouh2vj20sg0sggm3.jpg?KID=imgbed,tva&Expires=1783333046&ssig=cr9t2XAWAL","","汽车实验室","https://h5.sinaimg.cn/upload/108/1866/2022/11/02/vip_4.png","今天11:02","https://weibo.com/1981906755/R7oOZeYfu?refer_flag=1001030103_","【杰兰路发布新能源汽车百人青睐指数：特斯拉、比亚迪最高 每100人就有超50人青睐】杰兰路今日发布2026年度上半年新能源汽车品牌健康度研究 (公共指标篇)，在百人青睐指数中，特斯拉和比亚迪仍保持领先，百人青睐指数均超过50。也就是说，每100位新能源汽车消费者中，超过半数对这两个品牌持正向观感。 ​","展开","https://weibo.com/1981906755/R7oOZeYfu?refer_flag=1001030103_","","","","转发","1","赞","来自","微博发布平台智能版","https://app.weibo.com/t/feed/6j3uwa","c","【杰兰路发布新能源汽车百人青睐指数：特斯拉、比亚迪最高 每100人就有超50人青睐】杰兰路今日发布2026年度上半年新能源汽车品牌健康度研究 (公共指标篇)，在百人青睐指数中，特斯拉和比亚迪仍保持领先，百人青睐指数均超过50。也就是说，每100位新能源汽车消费者中，超过半数对这两个品牌持正向观感。 ​","收起","javascript:void(0);","","","d","","","","","","","","[object Object]","https://wx3.sinaimg.cn/orj360/62ec2493ly1ieu21b2lyjj20u02ognn5.jpg","","",""
"","","https://weibo.com/242902736?refer_flag=1001030103_","https://tva1.sinaimg.cn/crop.52.10.386.386.180/0e7a66d0jw1eq3g7mqb02j20c80b9jrr.jpg?KID=imgbed,tva&Expires=1783333046&ssig=HBYfQfHiZF","","中概股小冲冲","","今天10:29","https://weibo.com/242902736/R7oBp3Hgi?refer_flag=1001030103_","【：特斯拉、比亚迪最高 每100人就有超50人青睐】杰兰路今日发布2026年度上半年新能源汽车品牌健康度研究 (公共指标篇)，包括各新能源品牌的知名度、青睐度、档次定位、发展信心与形象标签等方面的表现。其中，百人青睐指数基于品牌漏斗模型中的关键环节——知名度 ​","#报告称特斯拉比亚迪青睐指数最高#","https://s.weibo.com/weibo?q=%23%E6%8A%A5%E5%91%8A%E7%A7%B0%E7%89%B9%E6%96%AF%E6%8B%89%E6%AF%94%E4%BA%9A%E8%BF%AA%E9%9D%92%E7%9D%90%E6%8C%87%E6%95%B0%E6%9C%80%E9%AB%98%23","","","","转发","评论","赞","","","","c","【：特斯拉、比亚迪最高 每100人就有超50人青睐】杰兰路今日发布2026年度上半年新能源汽车品牌健康度研究 (公共指标篇)，包括各新能源品牌的知名度、青睐度、档次定位、发展信心与形象标签等方面的表现。其中，百人青睐指数基于品牌漏斗模型中的关键环节——知名度、熟悉度与美誉度——综合计算得出。该指数作为一个反映品牌公众吸引力的综合性指标，用于衡量在每一百人中有多少人对品牌抱有好感。指数数值越高，意味着品牌在新能源汽车消费群体中的认可度与喜爱度越高，即具备更强的公众青睐力。从总体市场看，特斯拉和比亚迪仍保持领先，百人青睐指数均超过50。也就是说，每100位新能源汽车消费者中，超过半数对这两个品牌持正向观感。它们不仅拥有较高知名度，也在熟悉度和美誉度层面形成了较强转化。从变化幅度看，方程豹是本期提升最显著的品牌，百人青睐指数提升10个百分点。这与其知名度提升相互印证，说明方程豹并不只是被更多消费者知道，同时也在将新增认知转化为更明确的正向偏好。而百人青睐度最低档次为10以下，涵盖蓝电、启境、奕境、极石、FREELANDER神行者等品牌，这也与这些品牌发布不久及知名度不高有关。（快科技）","展开","https://weibo.com/242902736/R7oBp3Hgi?refer_flag=1001030103_","#报告称特斯拉比亚迪青睐指数最高#","https://s.weibo.com/weibo?q=%23%E6%8A%A5%E5%91%8A%E7%A7%B0%E7%89%B9%E6%96%AF%E6%8B%89%E6%AF%94%E4%BA%9A%E8%BF%AA%E9%9D%92%E7%9D%90%E6%8C%87%E6%95%B0%E6%9C%80%E9%AB%98%23","d","","","","","","","","","https://wx3.sinaimg.cn/orj360/a9dbb952ly8ieu2bz9fy6j20j6099aap.jpg","收起","javascript:void(0);",""
"","","https://weibo.com/6094672810?refer_flag=1001030103_","https://tvax2.sinaimg.cn/crop.0.0.1080.1080.180/006EsCOmly8h5ptitftt2j30u00u0di0.jpg?KID=imgbed,tva&Expires=1783333046&ssig=qN5zUHN6Y0","[object Object]","车若初见","https://h5.sinaimg.cn/upload/108/1866/2022/11/02/vip_7.png","02月04日 11:24","https://weibo.com/6094672810/QqfsAusMx?refer_flag=1001030103_","近日，杰兰路发布《2025年乘用车品牌单车成交均价与销售额报告》，报告显示，2025年问界单车成交均价达38.6万元，位列新势力品牌成交均价第一名；同时，全年累计销量超42万辆，成交均价与销量连续两年实现增长，形成“量价双升”昂扬曲线。2026年1月，全系车型交付达40016辆，同比 ​","车若初见超话","https://huati.weibo.com/5154108","","","","转发","评论","赞","来自","车若初见超话","https://huati.weibo.com/k/%E8%BD%A6%E8%8B%A5%E5%88%9D%E8%A7%81","","近日，杰兰路发布《2025年乘用车品牌单车成交均价与销售额报告》，报告显示，2025年问界单车成交均价达38.6万元，位列新势力品牌成交均价第一名；同时，全年累计销量超42万辆，成交均价与销量连续两年实现增长，形成“量价双升”昂扬曲线。2026年1月，全系车型交付达40016辆，同比增长83%。截至目前，问界M9交付突破27万辆，累计21个月稳居50万元以上豪华车销量第一。问界M8上市8个月累计交付突破15万辆，连续6个月稳居40万级车型销量标杆。问界M7全系累计交付超42万辆，上市104天累计交付突破7万辆。此外，在杰兰路《2025年度新能源汽车产品质量研究报告》中，问界荣登新能源汽车产品质量榜单（品牌）第一，其旗下车型问界M9、问界M8、问界M7更在新能源汽车产品质量榜单（车型）中包揽中大型及以上SUV车型前三名。在用户口碑方面，在前不久杰兰路发布的《2025下半年新能源汽车品牌健康研究报告》中，问界荣获品牌NPS（净推荐值）第一、品牌发展信心指数第一、30万元以上品牌百人青睐指数第一，问界M9获得车型NPS (净推荐值) 第一，连续四次蝉联NPS（净推荐值）第一。","展开","https://weibo.com/6094672810/QqfsAusMx?refer_flag=1001030103_","车若初见超话","https://huati.weibo.com/5154108","c","https://wx1.sinaimg.cn/thumb150/006EsCOmly1i9ydqcoarwj30fm0saq9m.jpg","https://wx4.sinaimg.cn/thumb150/006EsCOmly1i9ydqdjzq3j30rm0l6doy.jpg","https://wx3.sinaimg.cn/thumb150/006EsCOmly1i9ydqevvupj30n816gwsr.jpg","https://wx4.sinaimg.cn/thumb150/006EsCOmly1i9ydqg6pxrj30dl1jkao4.jpg","","","","","","收起","javascript:void(0);",""
"","","https://weibo.com/7568476091?refer_flag=1001030103_","https://tvax3.sinaimg.cn/crop.0.0.600.600.180/008gcyn1ly8i8kmy11iruj30go0go74t.jpg?KID=imgbed,tva&Expires=1783333046&ssig=g7W6KWwHhV","","特空间Tspace","https://h5.sinaimg.cn/upload/108/1866/2022/11/02/vip_6.png","01月19日 18:15","https://weibo.com/7568476091/QnRjAnlB1?refer_flag=1001030103_","最新调研：特斯拉是消费者最青睐的新能源品牌，Model 3成为细分市场中消费者最推荐的车汽车行业咨询公司杰兰路近日发布《2025下半年新能源汽车品牌健康研究报告》，研究结果显示，特斯拉在发展信心指数、提示后知名度、百人青睐指数等方面均处于行业领先，展现出强劲的品牌影响力。据悉，本次研究 ​","展开","https://weibo.com/7568476091/QnRjAnlB1?refer_flag=1001030103_","https://wx1.sinaimg.cn/thumb150/008gcyn1gy1i9g7mptjntj30rs2j34q4.jpg","https://wx2.sinaimg.cn/thumb150/008gcyn1gy1i9g7n3r62yj30rs18d1as.jpg","https://wx1.sinaimg.cn/thumb150/008gcyn1gy1i9g7ng5o38j30rs0zf499.jpg","1","1","1","来自","微博网页版","https://app.weibo.com/t/feed/xEsRX","c","最新调研：特斯拉是消费者最青睐的新能源品牌，Model 3成为细分市场中消费者最推荐的车汽车行业咨询公司杰兰路近日发布《2025下半年新能源汽车品牌健康研究报告》，研究结果显示，特斯拉在发展信心指数、提示后知名度、百人青睐指数等方面均处于行业领先，展现出强劲的品牌影响力。据悉，本次研究共覆盖65个新能源品牌，调研对象超过1.2万名新能源车主。报告从知名度、青睐度、档次定位、发展信心以及品牌形象标签等多个维度，力图还原当下新能源品牌在消费者心智中的真实位置，并捕捉这一轮市场成熟过程中正在形成的关键变化。从消费者购车角度来看，更具综合参考价值的是“百人青睐指数”，该指数综合知名度、熟悉度与美誉度三大维度，反映每百名消费者中可能喜爱该品牌的人数。指数越高，意味着品牌在新能源消费群体中的认可度和喜爱度越强。研究显示，特斯拉得分与其他品牌几乎拉开断崖式差距，成为消费者最青睐的新能源品牌。在具体车型方面，报告显示，Model 3以78.7的高净推值，成为消费者推荐意愿最强的中型轿车。在反映品牌基础认知度的“提示后知名度”指标中，特斯拉在所在细分市场均位列第一。该指标是指在出示品牌名称与标识后，受访者中表示“认识该品牌”的比例。这表明，无论中端还是高端市场，特斯拉的品牌都已深入人心。在衡量消费者对品牌未来前景预期的“发展信心指数”方面，特斯拉同样获得高度评价，跻身“超强信心”梯队，这意味着，消费者对特斯拉在中国市场的长期发展，抱有更强的信任与期待。中国消费者对于特斯拉的热爱，体现在现实生活中极高的出街率。海外博主tslaming 分享了一段实拍视频，在西安街头短短10分钟内，就能看到20多辆特斯拉驶过。博主感叹：中国消费者对特斯拉的喜爱不言自明。","特斯拉超话","https://huati.weibo.com/5561705","#微博年度汽车大选#","https://s.weibo.com/weibo/%23%E5%BE%AE%E5%8D%9A%E5%B9%B4%E5%BA%A6%E6%B1%BD%E8%BD%A6%E5%A4%A7%E9%80%89%23?from=object","","","","","","https://wx4.sinaimg.cn/thumb150/008gcyn1gy1i9g7np0d4pj30rs1o1tdv.jpg","https://wx1.sinaimg.cn/thumb150/008gcyn1gy1i9g7o1hdx1j30u00a4t9s.jpg","https://wx3.sinaimg.cn/thumb150/008gcyn1gy1i9g7opy3caj30e10m5wnm.jpg","","","#新能源汽车#","https://s.weibo.com/weibo?q=%23%E6%96%B0%E8%83%BD%E6%BA%90%E6%B1%BD%E8%BD%A6%23","d"
"","","https://weibo.com/2165199812?refer_flag=1001030103_","https://tvax3.sinaimg.cn/crop.0.0.640.640.180/810e53c4ly8hlgkttcrpxj20hs0hst9g.jpg?KID=imgbed,tva&Expires=1783333046&ssig=s5wh09RT4w","","汽车生活官博","","01月12日 17:42","https://weibo.com/2165199812/QmN6SmDvX?refer_flag=1001030103_","杰兰路今日发布《2025年度下半年新能源汽车品牌健康度研究 (公共指标篇)》， 连续三期获得品牌发展信心指数第一，同时也获得30万元以上品牌百人青睐指数第一！  ​","#问界#","https://s.weibo.com/weibo?q=%23%E9%97%AE%E7%95%8C%23","","","","转发","评论","赞","来自","iPhone 17 Pro","https://app.weibo.com/t/feed/5AkOIk","","","#智慧重塑豪华#","https://s.weibo.com/weibo?q=%23%E6%99%BA%E6%85%A7%E9%87%8D%E5%A1%91%E8%B1%AA%E5%8D%8E%23","#赛力斯#","https://s.weibo.com/weibo/%23%E8%B5%9B%E5%8A%9B%E6%96%AF%23","","","","","","","","","[object Object]","https://wx4.sinaimg.cn/orj360/810e53c4gy1i983feji5cj20xi1bw45l.jpg","@麻辣车事","https://weibo.com/n/%E9%BA%BB%E8%BE%A3%E8%BD%A6%E4%BA%8B",""
